series_id	year	period	value
CES6500000001    	1988	M09	       10242	          
CES6500000001    	1988	M10	       10273	          
CES6500000001    	1988	M11	       10310	          
CES6500000001    	1988	M12	       10359	          
CES6500000001    	1989	M01	       10383	          
CES6500000001    	1989	M02	       10411	          
CES6500000001    	1989	M03	       10468	          
CES6500000001    	1989	M04	       10536	          
CES6500000001    	1989	M05	       10590	          
CES6500000001    	1989	M06	       10706	          
CES6500000001    	1989	M07	       10764	          
CES6500000001    	1989	M08	       10834	          
CES6500000001    	1989	M09	       10786	          
CES6500000001    	1989	M10	       10766	          
CES6500000001    	1989	M11	       10792	          
CES6500000001    	1989	M12	       10814	          
CES6500000001    	1990	M01	       10778	          
CES6500000001    	1990	M02	       10818	          
CES6500000001    	1990	M03	       10866	          
CES6500000001    	1990	M04	       10893	          
CES6500000001    	1990	M05	       10956	          
CES6500000001    	1990	M06	       11018	          
CES6500000001    	1990	M07	       11054	          
CES6500000001    	1990	M08	       11099	          
CES6500000001    	1990	M09	       11137	          
CES6500000001    	1990	M10	       11177	          
CES6500000001    	1990	M11	       11220	          
CES6500000001    	1990	M12	       11271	          
CES6500000001    	1991	M01	       11343	          
CES6500000001    	1991	M02	       11375	          
CES6500000001    	1991	M03	       11425	          
CES6500000001    	1991	M04	       11464	          
CES6500000001    	1991	M05	       11492	          
CES6500000001    	1991	M06	       11538	          
CES6500000001    	1991	M07	       11573	          
CES6500000001    	1991	M08	       11616	          
CES6500000001    	1991	M09	       11658	          
CES6500000001    	1991	M10	       11700	          
CES6500000001    	1991	M11	       11727	          
CES6500000001    	1991	M12	       11764	          
CES6500000001    	1992	M01	       11803	          
CES6500000001    	1992	M02	       11825	          
CES6500000001    	1992	M03	       11841	          
CES6500000001    	1992	M04	       11869	          
CES6500000001    	1992	M05	       11883	          
CES6500000001    	1992	M06	       11929	          
CES6500000001    	1992	M07	       11973	          
CES6500000001    	1992	M08	       11996	          
CES6500000001    	1992	M09	       12013	          
CES6500000001    	1992	M10	       12046	          
CES6500000001    	1992	M11	       12076	          
CES6500000001    	1992	M12	       12109	          
CES6500000001    	1993	M01	       12144	          
CES6500000001    	1993	M02	       12176	          
CES6500000001    	1993	M03	       12191	          
CES6500000001    	1993	M04	       12244	          
CES6500000001    	1993	M05	       12297	          
CES6500000001    	1993	M06	       12346	          
CES6500000001    	1993	M07	       12399	          
CES6500000001    	1993	M08	       12446	          
CES6500000001    	1993	M09	       12465	          
CES6500000001    	1993	M10	       12499	          
CES6500000001    	1993	M11	       12540	          
CES6500000001    	1993	M12	       12585	          
CES6500000001    	1994	M01	       12625	          
CES6500000001    	1994	M02	       12644	          
CES6500000001    	1994	M03	       12694	          
CES6500000001    	1994	M04	       12743	          
CES6500000001    	1994	M05	       12795	          
CES6500000001    	1994	M06	       12850	          
CES6500000001    	1994	M07	       12918	          
CES6500000001    	1994	M08	       12956	          
CES6500000001    	1994	M09	       12994	          
CES6500000001    	1994	M10	       13032	          
CES6500000001    	1994	M11	       13076	          
CES6500000001    	1994	M12	       13129	          
CES6500000001    	1995	M01	       13166	          
CES6500000001    	1995	M02	       13213	          
CES6500000001    	1995	M03	       13255	          
CES6500000001    	1995	M04	       13285	          
CES6500000001    	1995	M05	       13309	          
CES6500000001    	1995	M06	       13343	          
CES6500000001    	1995	M07	       13359	          
CES6500000001    	1995	M08	       13401	          
CES6500000001    	1995	M09	       13445	          
CES6500000001    	1995	M10	       13477	          
CES6500000001    	1995	M11	       13509	          
CES6500000001    	1995	M12	       13547	          
CES6500000001    	1996	M01	       13550	          
CES6500000001    	1996	M02	       13602	          
CES6500000001    	1996	M03	       13645	          
CES6500000001    	1996	M04	       13678	          
CES6500000001    	1996	M05	       13715	          
CES6500000001    	1996	M06	       13751	          
CES6500000001    	1996	M07	       13795	          
CES6500000001    	1996	M08	       13807	          
CES6500000001    	1996	M09	       13837	          
CES6500000001    	1996	M10	       13887	          
CES6500000001    	1996	M11	       13929	          
CES6500000001    	1996	M12	       13951	          
